Command: kubectl get events --sort-by=.lastTimestamp -A
STDOUT:
NAMESPACE                     LAST SEEN   TYPE      REASON                         OBJECT                                                          MESSAGE
kube-system                   12m         Warning   FailedScheduling               pod/konnectivity-agent-bcb8d5868-gz8x4                          no nodes available to schedule pods
gke-managed-cim               11m         Warning   FailedScheduling               pod/kube-state-metrics-0                                        no nodes available to schedule pods
kube-system                   12m         Warning   FailedScheduling               pod/metrics-server-v1.35.1-74dbffb876-dqvpb                     no nodes available to schedule pods
kube-system                   4m48s       Normal    Scheduled                      pod/metrics-server-v1.35.1-74dbffb876-4d6rs                     Successfully assigned kube-system/metrics-server-v1.35.1-74dbffb876-4d6rs to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
gmp-system                    11m         Normal    Scheduled                      pod/collector-xvntw                                             Successfully assigned gmp-system/collector-xvntw to gke-gke-a3h-spot-b866c1-default-pool-4d48a772-3xf9
kube-system                   4m52s       Normal    Scheduled                      pod/netd-g7t7x                                                  Successfully assigned kube-system/netd-g7t7x to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
kube-system                   11m         Normal    Scheduled                      pod/netd-jbbx5                                                  Successfully assigned kube-system/netd-jbbx5 to gke-gke-a3h-spot-b866c1-default-pool-4d48a772-3xf9
kube-system                   5m5s        Warning   FailedScheduling               pod/metrics-server-v1.35.1-74dbffb876-4d6rs                     no nodes available to schedule pods
kube-system                   5m10s       Warning   FailedScheduling               pod/metrics-server-v1.35.1-74dbffb876-4d6rs                     no nodes available to schedule pods
kube-system                   11m         Normal    Scheduled                      pod/anetd-b6rqj                                                 Successfully assigned kube-system/anetd-b6rqj to gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33
kube-system                   10m         Warning   FailedScheduling               pod/metrics-server-v1.35.1-74dbffb876-4d6rs                     0/3 nodes are available: 3 node(s) were unschedulable. no new claims to deallocate, preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
kube-system                   10m         Normal    Scheduled                      pod/kube-dns-84d47fbc64-v2xxz                                   Successfully assigned kube-system/kube-dns-84d47fbc64-v2xxz to gke-gke-a3h-spot-b866c1-default-pool-4d48a772-3xf9
kube-system                   11m         Normal    Scheduled                      pod/fluentbit-gke-8nlh6                                         Successfully assigned kube-system/fluentbit-gke-8nlh6 to gke-gke-a3h-spot-b866c1-default-pool-4d48a772-3xf9
kueue-system                  4m47s       Normal    Scheduled                      pod/kueue-controller-manager-5866f9f485-6vc5k                   Successfully assigned kueue-system/kueue-controller-manager-5866f9f485-6vc5k to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
kueue-system                  5m23s       Warning   FailedScheduling               pod/kueue-controller-manager-5866f9f485-6vc5k                   no nodes available to schedule pods
kueue-system                  5m27s       Warning   FailedScheduling               pod/kueue-controller-manager-5866f9f485-6vc5k                   no nodes available to schedule pods
kube-system                   4m52s       Normal    Scheduled                      pod/anetd-brz26                                                 Successfully assigned kube-system/anetd-brz26 to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
kube-system                   4m48s       Normal    Scheduled                      pod/metrics-server-v1.35.1-6b788f8fd4-wx2m9                     Successfully assigned kube-system/metrics-server-v1.35.1-6b788f8fd4-wx2m9 to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
kube-system                   5m5s        Warning   FailedScheduling               pod/metrics-server-v1.35.1-6b788f8fd4-wx2m9                     no nodes available to schedule pods
kube-system                   5m9s        Warning   FailedScheduling               pod/metrics-server-v1.35.1-6b788f8fd4-wx2m9                     no nodes available to schedule pods
kube-system                   10m         Warning   FailedScheduling               pod/metrics-server-v1.35.1-6b788f8fd4-wx2m9                     0/3 nodes are available: 3 node(s) were unschedulable. no new claims to deallocate, preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
kube-system                   10m         Warning   FailedScheduling               pod/kube-dns-84d47fbc64-2x8qc                                   0/3 nodes are available: 3 node(s) were unschedulable. no new claims to deallocate, preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
kube-system                   4m52s       Normal    Scheduled                      pod/gke-metadata-server-xk2v2                                   Successfully assigned kube-system/gke-metadata-server-xk2v2 to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
kube-system                   5m10s       Warning   FailedScheduling               pod/kube-dns-84d47fbc64-2x8qc                                   no nodes available to schedule pods
kube-system                   11m         Normal    Scheduled                      pod/metrics-server-v1.35.1-6b788f8fd4-w2k2g                     Successfully assigned kube-system/metrics-server-v1.35.1-6b788f8fd4-w2k2g to gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33
kube-system                   11m         Warning   FailedScheduling               pod/metrics-server-v1.35.1-6b788f8fd4-w2k2g                     no nodes available to schedule pods
kube-system                   12m         Warning   FailedScheduling               pod/metrics-server-v1.35.1-6b788f8fd4-w2k2g                     no nodes available to schedule pods
kube-system                   11m         Normal    Scheduled                      pod/kube-dns-84d47fbc64-tf279                                   Successfully assigned kube-system/kube-dns-84d47fbc64-tf279 to gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33
kube-system                   11m         Warning   FailedScheduling               pod/kube-dns-84d47fbc64-tf279                                   no nodes available to schedule pods
kube-system                   4m48s       Normal    Scheduled                      pod/konnectivity-agent-autoscaler-567664cbff-j6vgl              Successfully assigned kube-system/konnectivity-agent-autoscaler-567664cbff-j6vgl to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
kube-system                   5m5s        Warning   FailedScheduling               pod/konnectivity-agent-autoscaler-567664cbff-j6vgl              no nodes available to schedule pods
kube-system                   5m10s       Warning   FailedScheduling               pod/konnectivity-agent-autoscaler-567664cbff-j6vgl              no nodes available to schedule pods
kube-system                   11m         Warning   FailedScheduling               pod/metrics-server-v1.35.1-74dbffb876-dqvpb                     0/3 nodes are available: 1 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 Insufficient cpu, 2 Preemption is not helpful for scheduling.
kube-system                   11m         Warning   FailedScheduling               pod/metrics-server-v1.35.1-74dbffb876-dqvpb                     0/3 nodes are available: 1 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 Insufficient cpu, 2 Preemption is not helpful for scheduling.
jobset-system                 3m          Normal    Scheduled                      pod/jobset-controller-f76fcff8f-ntqzp                           Successfully assigned jobset-system/jobset-controller-f76fcff8f-ntqzp to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
kube-system                   11m         Normal    Scheduled                      pod/anetd-jlvzq                                                 Successfully assigned kube-system/anetd-jlvzq to gke-gke-a3h-spot-b866c1-default-pool-4d48a772-3xf9
