Command: kubectl get pods -A -o wide
STDOUT:
NAMESPACE            NAME                                                       READY   STATUS    RESTARTS      AGE   IP            NODE                                                  NOMINATED NODE   READINESS GATES
gke-managed-cim      kube-state-metrics-0                                       2/2     Running   0             53m   10.4.2.12     gke-gke-a3h-spot-dc0273-system-43f3157b-487v          <none>           <none>
gke-managed-system   dcgm-exporter-mdc9d                                        1/1     Running   0             46m   10.4.1.3      gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-lkz9   <none>           <none>
gke-managed-system   dcgm-exporter-xgb8s                                        1/1     Running   0             46m   10.4.0.2      gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-c6ds   <none>           <none>
gmp-system           collector-665hj                                            2/2     Running   0             47m   10.4.2.15     gke-gke-a3h-spot-dc0273-system-43f3157b-487v          <none>           <none>
gmp-system           collector-778k7                                            2/2     Running   0             46m   10.4.1.5      gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-lkz9   <none>           <none>
gmp-system           collector-dskdl                                            2/2     Running   0             46m   10.4.0.4      gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-c6ds   <none>           <none>
gmp-system           gmp-operator-7bc4cd5955-hfhc7                              1/1     Running   0             53m   10.4.2.13     gke-gke-a3h-spot-dc0273-system-43f3157b-487v          <none>           <none>
jobset-system        jobset-controller-7dccb44bdc-jbm2f                         1/1     Running   0             45m   10.4.2.19     gke-gke-a3h-spot-dc0273-system-43f3157b-487v          <none>           <none>
kube-system          anetd-cf7z6                                                4/4     Running   0             47m   192.168.0.8   gke-gke-a3h-spot-dc0273-system-43f3157b-487v          <none>           <none>
kube-system          anetd-hcwtd                                                4/4     Running   0             46m   192.168.0.6   gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-c6ds   <none>           <none>
kube-system          anetd-prpff                                                4/4     Running   0             46m   192.168.0.7   gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-lkz9   <none>           <none>
kube-system          antrea-controller-horizontal-autoscaler-7fb7f46fbd-6x842   1/1     Running   0             53m   10.4.2.5      gke-gke-a3h-spot-dc0273-system-43f3157b-487v          <none>           <none>
kube-system          device-injector-w6qx4                                      1/1     Running   0             46m   192.168.0.7   gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-lkz9   <none>           <none>
kube-system          device-injector-xwpfm                                      1/1     Running   0             46m   192.168.0.6   gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-c6ds   <none>           <none>
kube-system          event-exporter-gke-588455645b-5ksgc                        2/2     Running   0             53m   10.4.2.10     gke-gke-a3h-spot-dc0273-system-43f3157b-487v          <none>           <none>
kube-system          fluentbit-gke-6dggx                                        3/3     Running   0             46m   192.168.0.7   gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-lkz9   <none>           <none>
kube-system          fluentbit-gke-kth7d                                        3/3     Running   0             47m   192.168.0.8   gke-gke-a3h-spot-dc0273-system-43f3157b-487v          <none>           <none>
kube-system          fluentbit-gke-zw2tc                                        3/3     Running   0             46m   192.168.0.6   gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-c6ds   <none>           <none>
kube-system          gke-metadata-server-bzk56                                  1/1     Running   0             46m   192.168.0.6   gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-c6ds   <none>           <none>
kube-system          gke-metadata-server-lwv59                                  1/1     Running   0             47m   192.168.0.8   gke-gke-a3h-spot-dc0273-system-43f3157b-487v          <none>           <none>
kube-system          gke-metadata-server-mvdlb                                  1/1     Running   0             46m   192.168.0.7   gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-lkz9   <none>           <none>
kube-system          gke-metrics-agent-4qhrj                                    3/3     Running   0             47m   192.168.0.8   gke-gke-a3h-spot-dc0273-system-43f3157b-487v          <none>           <none>
kube-system          gke-metrics-agent-lk4jc                                    3/3     Running   0             46m   192.168.0.6   gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-c6ds   <none>           <none>
kube-system          gke-metrics-agent-x225v                                    3/3     Running   0             46m   192.168.0.7   gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-lkz9   <none>           <none>
kube-system          high-perf-device-plugin-np7sh                              1/1     Running   0             45m   10.4.0.5      gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-c6ds   <none>           <none>
kube-system          high-perf-device-plugin-s6cq4                              1/1     Running   0             46m   10.4.1.6      gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-lkz9   <none>           <none>
kube-system          konnectivity-agent-6c8ccfcd4b-j6rvv                        2/2     Running   0             53m   10.4.2.6      gke-gke-a3h-spot-dc0273-system-43f3157b-487v          <none>           <none>
