Command: kubectl get events --sort-by=.lastTimestamp -A
STDOUT:
NAMESPACE                     LAST SEEN   TYPE      REASON                                   OBJECT                                                          MESSAGE
kube-system                   46m         Normal    Scheduled                                pod/konnectivity-agent-6c8ccfcd4b-tn49k                         Successfully assigned kube-system/konnectivity-agent-6c8ccfcd4b-tn49k to gke-gke-a3h-spot-dc0273-system-43f3157b-487v
kube-system                   53m         Normal    Scheduled                                pod/konnectivity-agent-6c8ccfcd4b-shc5h                         Successfully assigned kube-system/konnectivity-agent-6c8ccfcd4b-shc5h to gke-gke-a3h-spot-dc0273-default-pool-86cfb995-s177
kueue-system                  47m         Warning   FailedScheduling                         pod/kueue-controller-manager-7b746577c9-7zmws                   0/1 nodes are available: 1 node(s) had untolerated taint {node.kubernetes.io/not-ready: }. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
gmp-system                    55m         Warning   FailedScheduling                         pod/rule-evaluator-5bcc9bf5d5-bgr99                             no nodes available to schedule pods
gmp-system                    54m         Warning   FailedScheduling                         pod/rule-evaluator-5bcc9bf5d5-bgr99                             no nodes available to schedule pods
gmp-system                    54m         Warning   FailedScheduling                         pod/rule-evaluator-5bcc9bf5d5-bgr99                             0/3 nodes are available: 1 Insufficient cpu, 2 node(s) had untolerated taint {node.kubernetes.io/not-ready: }. preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
kube-system                   54m         Normal    Scheduled                                pod/pdcsi-node-zs69m                                            Successfully assigned kube-system/pdcsi-node-zs69m to gke-gke-a3h-spot-dc0273-default-pool-86cfb995-s177
gmp-system                    53m         Warning   FailedScheduling                         pod/rule-evaluator-5bcc9bf5d5-bgr99                             0/3 nodes are available: 1 Insufficient cpu, 2 node(s) had untolerated taint {node.kubernetes.io/not-ready: }. preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
gmp-system                    53m         Normal    Scheduled                                pod/rule-evaluator-5bcc9bf5d5-bgr99                             Successfully assigned gmp-system/rule-evaluator-5bcc9bf5d5-bgr99 to gke-gke-a3h-spot-dc0273-default-pool-86cfb995-s177
gmp-system                    53m         Warning   FailedScheduling                         pod/rule-evaluator-5bcc9bf5d5-t9jk5                             0/3 nodes are available: 3 node(s) were unschedulable. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
gmp-system                    48m         Warning   FailedScheduling                         pod/rule-evaluator-5bcc9bf5d5-t9jk5                             no nodes available to schedule pods
gmp-system                    53m         Normal    Scheduled                                pod/gmp-operator-7bc4cd5955-xqvzs                               Successfully assigned gmp-system/gmp-operator-7bc4cd5955-xqvzs to gke-gke-a3h-spot-dc0273-default-pool-c6df61cd-2lz6
gmp-system                    54m         Warning   FailedScheduling                         pod/gmp-operator-7bc4cd5955-xqvzs                               0/3 nodes are available: 1 Insufficient cpu, 2 node(s) had untolerated taint {node.kubernetes.io/not-ready: }. preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
kube-system                   54m         Normal    Scheduled                                pod/pdcsi-node-xqks8                                            Successfully assigned kube-system/pdcsi-node-xqks8 to gke-gke-a3h-spot-dc0273-default-pool-c6df61cd-2lz6
kube-system                   54m         Normal    Scheduled                                pod/pdcsi-node-wqrx5                                            Successfully assigned kube-system/pdcsi-node-wqrx5 to gke-gke-a3h-spot-dc0273-default-pool-3301d7bf-6lhg
kube-system                   47m         Normal    Scheduled                                pod/pdcsi-node-ppp48                                            Successfully assigned kube-system/pdcsi-node-ppp48 to gke-gke-a3h-spot-dc0273-system-43f3157b-487v
kube-system                   46m         Normal    Scheduled                                pod/pdcsi-node-jwsh4                                            Successfully assigned kube-system/pdcsi-node-jwsh4 to gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-c6ds
kube-system                   46m         Normal    Scheduled                                pod/pdcsi-node-56zk7                                            Successfully assigned kube-system/pdcsi-node-56zk7 to gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-lkz9
gmp-system                    54m         Warning   FailedScheduling                         pod/gmp-operator-7bc4cd5955-xqvzs                               no nodes available to schedule pods
kube-system                   46m         Normal    Scheduled                                pod/nvidia-gpu-device-plugin-large-cos-hppzm                    Successfully assigned kube-system/nvidia-gpu-device-plugin-large-cos-hppzm to gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-lkz9
kube-system                   46m         Normal    Scheduled                                pod/nvidia-gpu-device-plugin-large-cos-cv4sx                    Successfully assigned kube-system/nvidia-gpu-device-plugin-large-cos-cv4sx to gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-c6ds
gmp-system                    55m         Warning   FailedScheduling                         pod/gmp-operator-7bc4cd5955-xqvzs                               no nodes available to schedule pods
gmp-system                    47m         Warning   FailedScheduling                         pod/rule-evaluator-5bcc9bf5d5-t9jk5                             no nodes available to schedule pods
gmp-system                    47m         Normal    Scheduled                                pod/rule-evaluator-5bcc9bf5d5-t9jk5                             Successfully assigned gmp-system/rule-evaluator-5bcc9bf5d5-t9jk5 to gke-gke-a3h-spot-dc0273-system-43f3157b-487v
gmp-system                    47m         Normal    Scheduled                                pod/gmp-operator-7bc4cd5955-hfhc7                               Successfully assigned gmp-system/gmp-operator-7bc4cd5955-hfhc7 to gke-gke-a3h-spot-dc0273-system-43f3157b-487v
kube-system                   47m         Normal    Scheduled                                pod/netd-zsq54                                                  Successfully assigned kube-system/netd-zsq54 to gke-gke-a3h-spot-dc0273-system-43f3157b-487v
kube-system                   46m         Normal    Scheduled                                pod/netd-zfb44                                                  Successfully assigned kube-system/netd-zfb44 to gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-lkz9
gmp-system                    47m         Warning   FailedScheduling                         pod/gmp-operator-7bc4cd5955-hfhc7                               no nodes available to schedule pods
gmp-system                    48m         Warning   FailedScheduling                         pod/gmp-operator-7bc4cd5955-hfhc7                               no nodes available to schedule pods
jobset-system                 45m         Normal    Scheduled                                pod/jobset-controller-7dccb44bdc-jbm2f                          Successfully assigned jobset-system/jobset-controller-7dccb44bdc-jbm2f to gke-gke-a3h-spot-dc0273-system-43f3157b-487v
kube-system                   54m         Normal    Scheduled                                pod/gke-metadata-server-czl97                                   Successfully assigned kube-system/gke-metadata-server-czl97 to gke-gke-a3h-spot-dc0273-default-pool-3301d7bf-6lhg
kube-system                   54m         Normal    Scheduled                                pod/gke-metadata-server-hmrkc                                   Successfully assigned kube-system/gke-metadata-server-hmrkc to gke-gke-a3h-spot-dc0273-default-pool-c6df61cd-2lz6
kube-system                   46m         Normal    Scheduled                                pod/fluentbit-gke-zw2tc                                         Successfully assigned kube-system/fluentbit-gke-zw2tc to gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-c6ds
kube-system                   47m         Normal    Scheduled                                pod/fluentbit-gke-kth7d                                         Successfully assigned kube-system/fluentbit-gke-kth7d to gke-gke-a3h-spot-dc0273-system-43f3157b-487v
kube-system                   54m         Normal    Scheduled                                pod/fluentbit-gke-fb85j                                         Successfully assigned kube-system/fluentbit-gke-fb85j to gke-gke-a3h-spot-dc0273-default-pool-3301d7bf-6lhg
