Command: kubectl get events --sort-by=.lastTimestamp -A
STDOUT:
NAMESPACE         LAST SEEN   TYPE      REASON                                   OBJECT                                                         MESSAGE
kube-system       60m         Normal    Pulled                                   pod/gke-metrics-agent-xn8h5                                    Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-agent:1.16.1-gke.1@sha256:5f0830049d02cd37494d578f7b595a43cf4a5b5aaf1ac5fff4b9e3bcbe079a01" in 2.973s (8.077s including waiting). Image size: 31961855 bytes.
kube-system       60m         Normal    Pulling                                  pod/fluentbit-gke-dj9lr                                        Pulling image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/fluent-bit:v0.0.422-gke.2@sha256:4b5df304074c9f2842f16ef4869c0ec253c2d91d6478e5aa42d2f8dce9146b45"
kube-system       60m         Normal    Pulled                                   pod/gke-metrics-agent-xn8h5                                    Container image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-agent:1.16.1-gke.1@sha256:5f0830049d02cd37494d578f7b595a43cf4a5b5aaf1ac5fff4b9e3bcbe079a01" already present on machine and can be accessed by the pod
kube-system       60m         Normal    Started                                  pod/gke-metrics-agent-xn8h5                                    Container started
kube-system       60m         Normal    Created                                  pod/gke-metrics-agent-xn8h5                                    Container created
kube-system       60m         Normal    Created                                  pod/gke-metrics-agent-xn8h5                                    Container created
kube-system       60m         Normal    Pulled                                   pod/pdcsi-node-8w5sh                                           Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/gcp-compute-persistent-disk-csi-driver:v1.23.1-gke.10@sha256:b183a499a628a5ea60b4e7568a8a0b8242d6c9727f66d42ada8315c268e87e6b" in 14s (14s including waiting). Image size: 124305689 bytes.
kube-system       60m         Normal    Started                                  pod/gke-metrics-agent-xn8h5                                    Container started
gmp-system        60m         Warning   FailedCreate                             daemonset/collector                                            Error creating: Internal error occurred: failed calling webhook "mpod.kb.io": failed to call webhook: Post "https://kueue-webhook-service.kueue-system.svc:443/mutate--v1-pod?timeout=10s": no endpoints available for service "kueue-webhook-service"
kube-system       60m         Normal    Pulling                                  pod/gke-metrics-agent-xn8h5                                    Pulling image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20250807_2300_RC0@sha256:aa1ed41571fa937da61b5bcd7cf842981c7f026b516c18655bc2f3a9362b1fa5"
kube-system       60m         Normal    Created                                  pod/pdcsi-node-8w5sh                                           Container created
kube-system       60m         Normal    Started                                  pod/pdcsi-node-8w5sh                                           Container started
