Command: kubectl get daemonsets -A
STDOUT:
NAMESPACE                           NAME                                     DESIRED   CURRENT   READY   UP-TO-DATE   AVAILABLE   NODE SELECTOR                                                        AGE
gke-managed-networking-dra-driver   networking-dra-driver                    0         0         0       0            0           <none>                                                               68m
gke-managed-system                  dcgm-exporter                            0         0         0       0            0           <none>                                                               68m
gmp-system                          collector                                1         1         1       1            1           <none>                                                               68m
kube-system                         anetd                                    1         1         1       1            1           kubernetes.io/os=linux                                               69m
kube-system                         anetd-l                                  0         0         0       0            0           kubernetes.io/os=linux                                               69m
kube-system                         anetd-m                                  0         0         0       0            0           kubernetes.io/os=linux                                               69m
kube-system                         anetd-s                                  0         0         0       0            0           kubernetes.io/os=linux                                               69m
kube-system                         anetd-win                                0         0         0       0            0           kubernetes.io/os=windows                                             67m
kube-system                         anetd-xl                                 0         0         0       0            0           kubernetes.io/os=linux                                               69m
kube-system                         anetd-xs                                 0         0         0       0            0           kubernetes.io/os=linux                                               69m
kube-system                         device-injector                          0         0         0       0            0           <none>                                                               62m
kube-system                         efficiency-daemon                        0         0         0       0            0           <none>                                                               69m
kube-system                         fluentbit-gke                            1         1         1       1            1           kubernetes.io/os=linux                                               69m
kube-system                         fluentbit-gke-256pd                      0         0         0       0            0           kubernetes.io/os=linux                                               69m
kube-system                         fluentbit-gke-managed-node-big           0         0         0       0            0           kubernetes.io/os=linux                                               69m
kube-system                         fluentbit-gke-managed-node-small         0         0         0       0            0           kubernetes.io/os=linux                                               69m
kube-system                         fluentbit-gke-max                        0         0         0       0            0           kubernetes.io/os=linux                                               69m
kube-system                         gke-metadata-server                      1         1         1       1            1           iam.gke.io/gke-metadata-server-enabled=true,kubernetes.io/os=linux   68m
kube-system                         gke-metrics-agent                        1         1         1       1            1           <none>                                                               68m
kube-system                         gke-metrics-agent-scaling-10             0         0         0       0            0           <none>                                                               68m
kube-system                         gke-metrics-agent-scaling-100            0         0         0       0            0           <none>                                                               68m
kube-system                         gke-metrics-agent-scaling-20             0         0         0       0            0           <none>                                                               68m
kube-system                         gke-metrics-agent-scaling-200            0         0         0       0            0           <none>                                                               68m
kube-system                         gke-metrics-agent-scaling-50             0         0         0       0            0           <none>                                                               68m
kube-system                         gke-metrics-agent-scaling-500            0         0         0       0            0           <none>                                                               68m
kube-system                         gke-metrics-agent-windows                0         0         0       0            0           kubernetes.io/os=windows                                             68m
kube-system                         high-perf-config-daemon                  0         0         0       0            0           cloud.google.com/run-high-perf-config-daemons=true                   68m
kube-system                         high-perf-device-plugin                  0         0         0       0            0           cloud.google.com/run-high-perf-daemons=true                          68m
kube-system                         kube-proxy                               0         0         0       0            0           kubernetes.io/os=linux,node.kubernetes.io/kube-proxy-ds-ready=true   67m
kube-system                         maintenance-handler                      0         0         0       0            0           <none>                                                               68m
kube-system                         metadata-proxy-v0.1                      0         0         0       0            0           cloud.google.com/metadata-proxy-ready=true,kubernetes.io/os=linux    67m
kube-system                         nccl-fastsocket-installer                0         0         0       0            0           <none>                                                               68m
kube-system                         nccl-tcpx-installer                      0         0         0       0            0           <none>                                                               62m
kube-system                         netd                                     1         1         1       1            1           kubernetes.io/os=linux                                               68m
kube-system                         nvidia-gpu-device-plugin-large-cos       0         0         0       0            0           <none>                                                               68m
kube-system                         nvidia-gpu-device-plugin-large-ubuntu    0         0         0       0            0           <none>                                                               68m
kube-system                         nvidia-gpu-device-plugin-medium-cos      0         0         0       0            0           <none>                                                               68m
kube-system                         nvidia-gpu-device-plugin-medium-ubuntu   0         0         0       0            0           <none>                                                               68m
kube-system                         nvidia-gpu-device-plugin-small-cos       0         0         0       0            0           <none>                                                               68m
kube-system                         nvidia-gpu-device-plugin-small-ubuntu    0         0         0       0            0           <none>                                                               68m
kube-system                         pdcsi-node                               1         1         1       1            1           kubernetes.io/os=linux                                               67m
kube-system                         pdcsi-node-windows                       0         0         0       0            0           kubernetes.io/os=windows                                             67m
kube-system                         runsc-metric-server                      0         0         0       0            0           kubernetes.io/os=linux,sandbox.gke.io/runtime=gvisor                 68m
kube-system                         tpu-device-plugin                        0         0         0       0            0           <none>                                                               67m

STDERR:
